	data	label
0	[ 1. -1. -1. ... -1. -1. -1.]	45
1	[-1.  1.  1. ...  0.  0.  0.]	53
2	[ 1. -1. -1. ...  0.  0.  0.]	5
3	[-1.  1.  1. ...  0.  0.  0.]	80
4	[-1. -1. -1. ...  0.  0.  0.]	93
5	[ 1. -1.  1. ...  0.  0.  0.]	6
6	[1. 1. 1. ... 0. 0. 0.]	35
7	[ 1.  1. -1. ... -1. -1. -1.]	47
8	[-1.  1. -1. ...  0.  0.  0.]	27
9	[ 1. -1.  1. ...  0.  0.  0.]	0
10	[ 1. -1. -1. ...  0.  0.  0.]	42
11	[ 1.  1. -1. ...  0.  0.  0.]	24
12	[-1. -1.  1. ...  0.  0.  0.]	68
13	[-1.  1.  1. ...  0.  0.  0.]	55
14	[ 1. -1.  1. ...  0.  0.  0.]	54
15	[1. 1. 1. ... 0. 0. 0.]	86
16	[ 1.  1. -1. ...  0.  0.  0.]	26
17	[ 1.  1. -1. ...  0.  0.  0.]	66
18	[ 1.  1. -1. ...  0.  0.  0.]	25
19	[-1.  1.  1. ...  1.  1. -1.]	44
20	[ 1. -1.  1. ...  0.  0.  0.]	46
21	[ 1. -1. -1. ...  0.  0.  0.]	82
22	[1. 1. 1. ... 0. 0. 0.]	31
23	[1. 1. 1. ... 0. 0. 0.]	93
24	[ 1.  1. -1. ...  0.  0.  0.]	32
25	[ 1.  1. -1. ...  0.  0.  0.]	67
26	[ 1. -1. -1. ...  0.  0.  0.]	16
27	[ 1. -1.  1. ...  0.  0.  0.]	72
28	[ 1.  1.  1. ... -1. -1. -1.]	85
29	[ 1. -1. -1. ...  1.  1. -1.]	21
30	[-1.  1. -1. ...  0.  0.  0.]	24
31	[-1. -1.  1. ...  0.  0.  0.]	63
32	[-1.  1. -1. ... -1.  1. -1.]	49
33	[-1. -1.  1. ...  0.  0.  0.]	78
34	[-1.  1. -1. ...  0.  0.  0.]	53
35	[ 1. -1.  1. ...  0.  0.  0.]	15
36	[-1.  1.  1. ...  0.  0.  0.]	92
37	[ 1. -1.  1. ...  0.  0.  0.]	14
38	[ 1.  1. -1. ...  0.  0.  0.]	12
39	[1. 1. 1. ... 0. 0. 0.]	93
40	[-1. -1.  1. ... -1. -1. -1.]	21
41	[ 1. -1. -1. ...  0.  0.  0.]	18
42	[-1. -1.  1. ... -1.  1. -1.]	49
43	[-1.  1.  1. ...  0.  0.  0.]	26
44	[ 1. -1.  1. ... -1. -1. -1.]	33
45	[ 1. -1. -1. ...  0.  0.  0.]	85
46	[ 1.  1. -1. ...  0.  0.  0.]	46
47	[-1.  1. -1. ...  0.  0.  0.]	73
48	[ 1.  1. -1. ...  0.  0.  0.]	71
49	[ 1. -1.  1. ...  0.  0.  0.]	27
50	[ 1. -1.  1. ...  0.  0.  0.]	14
51	[ 1. -1. -1. ...  0.  0.  0.]	82
52	[ 1.  1. -1. ...  1.  1. -1.]	83
53	[ 1. -1. -1. ...  0.  0.  0.]	36
54	[-1. -1.  1. ...  0.  0.  0.]	47
55	[ 1.  1. -1. ...  0.  0.  0.]	87
56	[ 1.  1. -1. ...  0.  0.  0.]	51
57	[ 1. -1.  1. ...  0.  0.  0.]	25
58	[ 1.  1. -1. ...  0.  0.  0.]	8
59	[ 1. -1. -1. ... -1. -1. -1.]	45
60	[ 1. -1.  1. ...  0.  0.  0.]	29
61	[-1.  1.  1. ... -1. -1. -1.]	49
62	[ 1.  1. -1. ... -1. -1. -1.]	91
63	[ 1.  1. -1. ... -1. -1. -1.]	47
64	[-1.  1. -1. ... -1. -1. -1.]	17
65	[ 1. -1. -1. ...  0.  0.  0.]	30
66	[ 1. -1.  1. ... -1. -1. -1.]	54
67	[ 1.  1. -1. ...  0.  0.  0.]	34
68	[ 1.  1. -1. ...  0.  0.  0.]	68
69	[ 1.  1. -1. ...  0.  0.  0.]	39
70	[ 1. -1. -1. ...  0.  0.  0.]	67
71	[ 1. -1.  1. ...  0.  0.  0.]	6
72	[1. 1. 1. ... 0. 0. 0.]	86
73	[-1.  1.  1. ...  0.  0.  0.]	40
74	[ 1. -1. -1. ...  0.  0.  0.]	20
75	[ 1. -1. -1. ...  0.  0.  0.]	26
76	[ 1. -1.  1. ...  0.  0.  0.]	16
77	[ 1. -1.  1. ...  0.  0.  0.]	43
